row,element,element_id,name,from_ppc_bus,to_ppc_bus,kv,capacity_mva,x_pu,is_bridge
1432,line,1490,日高線,1565,655,66.0,137.18,0.000246,0
1433,line,1491,小本川線,1486,1487,66.0,137.18,0.001245,0
1434,line,1492,腹帯線,1486,1540,66.0,68.59,0.001137,1
1435,line,1493,松島幹線;万石線,1478,620,66.0,137.18,0.000503,1
1436,line,1494,namebind,602,1572,66.0,137.18,0.000161,0
1437,line,1495,太田線,602,1480,66.0,137.18,0.00017,0
1438,line,1496,太田線,602,1490,66.0,137.18,0.000139,0
1439,line,1497,姫神線,1525,1463,154.0,1066.94,2.2e-05,0
1440,line,1498,姫神線;岩盛線,1525,645,154.0,1600.41,8e-06,0
1441,line,1499,岩盛線,1463,1462,154.0,1066.94,3e-06,0
1442,line,1500,松岩変電所~岩井崎変電所線,603,1544,66.0,68.59,0.00056,0
1443,line,1501,牧沢線,603,1475,66.0,137.18,1.7e-05,0
1444,line,1502,豊里町北谷地変電所~迫町佐沼変電所線,1468,617,66.0,68.59,0.000736,0
1445,line,1503,東花巻支線,604,1531,275.0,1905.26,7e-06,0
1446,line,1504,北部幹線,605,1765,275.0,1905.26,8.5e-05,0
1447,line,1505,五戸幹線,605,1716,275.0,1905.26,4.1e-05,0
1448,line,1506,北青幹線,1765,1618,275.0,1905.26,9.7e-05,0
1449,line,1507,上北変換所~上北変電所線,1765,1768,275.0,1905.26,6e-06,1
1450,line,1508,北岩手線,1462,607,154.0,533.47,0.000101,0
1451,line,1509,宮古線,1485,1479,154.0,1066.94,0.000286,0
1452,line,1510,北盛岡線;岩盛線,1479,642,154.0,1066.94,7e-06,0
1453,line,1511,盛岡変電所~JR東日本 盛岡変電所線,1479,1571,154.0,266.74,3.9e-05,0
1454,line,1512,leadin,1541,653,66.0,137.18,6e-05,1
1455,line,1513,鈴久名線,1541,1540,66.0,68.59,0.001416,1
1456,line,1514,北岩手線,607,608,154.0,533.47,0.000204,0
1457,line,1515,東北電力ネットワーク 154.0kV線,607,1783,154.0,533.47,1.7e-05,0
1458,line,1516,九戸線,608,761,154.0,533.47,0.00011,0
1459,line,1517,九戸線;北岩手線,608,1732,154.0,1066.94,6e-06,0
1460,line,1518,久慈南線,609,610,66.0,137.18,0.000862,0
1461,line,1519,久慈南線,609,776,66.0,137.18,0.000587,0
1462,line,1520,普代支線,609,1810,66.0,137.18,0.000152,1
1463,line,1521,久慈南線,610,1487,66.0,205.77,1.5e-05,0
1464,line,1522,岩泉線,610,1542,66.0,68.59,0.000989,1
1465,line,1523,本銅線,1487,1543,66.0,68.59,0.000717,1
1466,line,1524,浅内線,1487,1573,66.0,68.59,0.000486,1
1467,line,1525,都南線,1480,1553,66.0,137.18,0.000147,0
1468,line,1526,宮古線;東盛岡線,1480,662,66.0,137.18,0.000333,1
1469,line,1527,姫神線;北盛岡線,611,1489,154.0,1066.94,3e-06,0
1470,line,1528,北盛岡線,611,642,154.0,533.47,5e-05,0
1471,line,1529,姫神線,611,645,154.0,533.47,7.6e-05,0
1472,line,1530,渋民線,1490,612,66.0,137.18,0.000212,0
1473,line,1531,高松線,1490,1488,66.0,137.18,0.000137,1
1474,line,1532,渋民線,612,1526,66.0,137.18,0.000334,0
1475,line,1533,巣子変電所~日戸変電所線,612,1547,66.0,137.18,0.000129,1
1476,line,1534,矢巾変電所~大字高田変電所線,1491,1552,66.0,137.18,0.000118,1
1477,line,1535,矢巾支線,1491,628,66.0,137.18,2.1e-05,1
1478,line,1536,沼宮内線,613,1736,66.0,137.18,8.4e-05,0
1479,line,1537,東北電力ネットワーク 66.0kV線,613,1788,66.0,68.59,0.000145,1
